"sti","sex","admin","iso_a2","iso_a3","n"
"Trichomoniasis","Female","Libya","LY","LBY",NA
"Trichomoniasis","Female","Madagascar","MG","MDG",0
"Trichomoniasis","Female","Malawi","MW","MWI",7
"Trichomoniasis","Female","Mali","ML","MLI",1
"Trichomoniasis","Female","Mauritania","MR","MRT",0
"Trichomoniasis","Female","Morocco","MA","MAR",NA
"Trichomoniasis","Female","Mozambique","MZ","MOZ",2
"Trichomoniasis","Female","Namibia","NA","NAM",0
"Trichomoniasis","Female","Niger","NE","NER",0
"Trichomoniasis","Female","Nigeria","NG","NGA",35
"Trichomoniasis","Female","Rwanda","RW","RWA",4
"Trichomoniasis","Female","Senegal","SN","SEN",1
"Trichomoniasis","Female","Sierra Leone","SL","SLE",0
"Trichomoniasis","Female","Somalia","SO","SOM",0
"Trichomoniasis","Female","Somaliland","-99","-99",0
"Trichomoniasis","Female","South Africa","ZA","ZAF",38
"Trichomoniasis","Female","South Sudan","SS","SSD",0
"Trichomoniasis","Female","Sudan","SD","SDN",0
"Trichomoniasis","Female","Tanzania","TZ","TZA",14
"Trichomoniasis","Female","The Gambia","GM","GMB",2
"Trichomoniasis","Female","Togo","TG","TGO",2
"Trichomoniasis","Female","Tunisia","TN","TUN",NA
"Trichomoniasis","Female","Uganda","UG","UGA",16
"Trichomoniasis","Female","Western Sahara","EH","ESH",NA
"Trichomoniasis","Female","Zambia","ZM","ZMB",6
"Trichomoniasis","Female","Zimbabwe","ZW","ZWE",10
"Trichomoniasis","Male","Algeria","DZ","DZA",NA
"Trichomoniasis","Male","Angola","AO","AGO",0
"Trichomoniasis","Male","Benin","BJ","BEN",0
"Trichomoniasis","Male","Botswana","BW","BWA",1
"Trichomoniasis","Male","Burkina Faso","BF","BFA",1
"Trichomoniasis","Male","Burundi","BI","BDI",0
"Trichomoniasis","Male","Cameroon","CM","CMR",0
"Trichomoniasis","Male","Central African Republic","CF","CAF",0
"Trichomoniasis","Male","Chad","TD","TCD",0
"Trichomoniasis","Male","Congo","CG","COG",0
"Trichomoniasis","Male","Côte d'Ivoire","CI","CIV",0
"Trichomoniasis","Male","Democratic Republic of Congo","CD","COD",0
"Trichomoniasis","Male","Djibouti","DJ","DJI",NA
"Trichomoniasis","Male","Egypt","EG","EGY",NA
"Trichomoniasis","Male","Equatorial Guinea","GQ","GNQ",0
"Trichomoniasis","Male","Eritrea","ER","ERI",0
"Trichomoniasis","Male","Eswatini","SZ","SWZ",0
"Trichomoniasis","Male","Ethiopia","ET","ETH",0
"Trichomoniasis","Male","Gabon","GA","GAB",0
"Trichomoniasis","Male","Ghana","GH","GHA",0
"Trichomoniasis","Male","Guinea","GN","GIN",0
"Trichomoniasis","Male","Guinea-Bissau","GW","GNB",1
"Trichomoniasis","Male","Kenya","KE","KEN",2
"Trichomoniasis","Male","Lesotho","LS","LSO",0
"Trichomoniasis","Male","Liberia","LR","LBR",0
"Trichomoniasis","Male","Libya","LY","LBY",NA
"Trichomoniasis","Male","Madagascar","MG","MDG",0
"Trichomoniasis","Male","Malawi","MW","MWI",1
"Trichomoniasis","Male","Mali","ML","MLI",0
"Trichomoniasis","Male","Mauritania","MR","MRT",0
"Trichomoniasis","Male","Morocco","MA","MAR",NA
"Trichomoniasis","Male","Mozambique","MZ","MOZ",0
"Trichomoniasis","Male","Namibia","NA","NAM",0
"Trichomoniasis","Male","Niger","NE","NER",0
"Trichomoniasis","Male","Nigeria","NG","NGA",2
"Trichomoniasis","Male","Rwanda","RW","RWA",1
"Trichomoniasis","Male","Senegal","SN","SEN",0
"Trichomoniasis","Male","Sierra Leone","SL","SLE",0
"Trichomoniasis","Male","Somalia","SO","SOM",0
"Trichomoniasis","Male","Somaliland","-99","-99",0
"Trichomoniasis","Male","South Africa","ZA","ZAF",10
"Trichomoniasis","Male","South Sudan","SS","SSD",0
"Trichomoniasis","Male","Sudan","SD","SDN",0
"Trichomoniasis","Male","Tanzania","TZ","TZA",3
"Trichomoniasis","Male","The Gambia","GM","GMB",0
"Trichomoniasis","Male","Togo","TG","TGO",0
"Trichomoniasis","Male","Tunisia","TN","TUN",NA
"Trichomoniasis","Male","Uganda","UG","UGA",2
"Trichomoniasis","Male","Western Sahara","EH","ESH",NA
"Trichomoniasis","Male","Zambia","ZM","ZMB",1
"Trichomoniasis","Male","Zimbabwe","ZW","ZWE",0
